TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_DIRECTION,CRASH_DAY_OF_WEEK,CRASH_DATE_month,CRASH_DATE_hour,POSTED_SPEED_LIMIT,NUM_UNITS,LATITUDE,LONGITUDE,Severity
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,1,6,20,0.2525400696474301,-0.08823949142329818,1.72520617985012,0.11376549107756846,2
TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,3,6,17,0.2525400696474301,-0.08823949142329818,0.28810756654217934,1.0413034208412617,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,6,9,15,0.2525400696474301,-0.08823949142329818,-1.059743515383961,0.6902183841931875,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,2,12,18,0.2525400696474301,-0.08823949142329818,-1.913735059051575,0.6444290789522249,2
STOP SIGN/FLASHER,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,3,11,9,0.2525400696474301,-0.08823949142329818,-0.9178512861157607,0.25183771766196944,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,3,2,23,0.2525400696474301,-0.08823949142329818,0.35609452452426055,0.8297478068303228,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,3,7,17,0.2525400696474301,-0.08823949142329818,-0.551519673331818,0.7354560697439044,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DUSK,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,others,S,3,2,16,0.2525400696474301,-0.08823949142329818,-1.4173339621993175,1.2563026537463948,2
NO CONTROLS,NO CONTROLS,SNOW,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,dangerous driving,dangerous driving,W,2,11,7,0.2525400696474301,-0.08823949142329818,0.4595035206862455,-0.6885162410684159,2
NO CONTROLS,NO CONTROLS,CLEAR,DUSK,HEAD ON,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,1,10,5,-0.5669715719256664,-0.08823949142329818,-2.3218707954483593,1.2844409407315989,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,2,10,16,0.2525400696474301,-0.08823949142329818,0.46045477658396444,-0.9991108533745099,2
STOP SIGN/FLASHER,NO CONTROLS,CLEAR,DAYLIGHT,PEDESTRIAN,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,2,4,17,0.2525400696474301,-0.08823949142329818,-0.731104222332419,-0.29058691278035065,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDESTRIAN,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,others,others,W,4,2,13,0.2525400696474301,-0.08823949142329818,0.7884003494691599,-1.9635548042134057,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,2,7,15,-1.3864832134987628,-0.08823949142329818,0.8713846805147957,0.38423682790703256,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,7,11,14,0.2525400696474301,-0.08823949142329818,-1.1605291822347177,0.6358167421247263,2
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,7,12,4,0.2525400696474301,4.207508728136947,0.44904568333985895,0.37005440914607907,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,careless driving,others,S,2,5,21,0.2525400696474301,-0.08823949142329818,-0.6338064898816643,0.8992442769015012,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,OTHER OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,5,10,18,0.2525400696474301,-2.236113601203421,1.4450622344556219,-1.3604585870444248,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,2,1,13,0.2525400696474301,-0.08823949142329818,1.393108081173702,-1.9188867169432227,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,E,2,5,10,0.2525400696474301,-0.08823949142329818,-0.7982391957492082,1.2377193026557436,2
STOP SIGN/FLASHER,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,FOUR WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,others,others,W,3,9,16,0.2525400696474301,-0.08823949142329818,-1.9107963100543481,0.6852717179206718,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,E,7,4,18,0.2525400696474301,-0.08823949142329818,-1.2179675892100204,1.9301305530310149,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,dangerous driving,W,5,5,22,-0.5669715719256664,-0.08823949142329818,-0.9751222055530635,0.6584971653781231,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DARKNESS,PEDESTRIAN,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,external factors,others,S,3,10,18,0.2525400696474301,-0.08823949142329818,-0.6170646826236802,0.5283181658256145,2
TRAFFIC SIGNAL,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,vehicle conditions,others,S,3,12,15,0.2525400696474301,4.207508728136947,-0.5498392757431562,0.8147531887513157,2
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,2,7,23,0.2525400696474301,4.207508728136947,0.5228186200907367,-0.7915666130144717,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,7,5,13,0.2525400696474301,-0.08823949142329818,0.4953330581710364,-1.4610206747026915,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,7,12,22,0.2525400696474301,-0.08823949142329818,-1.6412616132623972,0.6138431159538816,2
NO CONTROLS,NO CONTROLS,CLEAR,DAWN,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,3,9,17,0.2525400696474301,-0.08823949142329818,-1.7352137161787806,0.3942782512693652,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,SLEET/HAIL,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,FOUR WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,others,others,S,5,12,16,-2.2059948550718596,-0.08823949142329818,-0.09412471487919113,-0.3534223742508771,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,7,6,14,0.2525400696474301,-0.08823949142329818,1.646704399531177,-1.411517987143962,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,1,12,12,1.891563352793623,2.0596346183568244,0.1176935148026854,1.0169028540777043,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,FIXED OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,vehicle conditions,vehicle conditions,S,2,12,8,1.0720517112205266,-2.236113601203421,-0.30456438879650977,-0.4322912205680554,2
NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PEDESTRIAN,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,2,8,20,0.2525400696474301,-0.08823949142329818,1.6031051728326224,-0.18076344933678512,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,PEDESTRIAN,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,others,S,6,9,12,1.0720517112205266,-0.08823949142329818,-1.319368894765198,0.2722550202925263,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,N,4,9,6,0.2525400696474301,-0.08823949142329818,0.4054123894005511,0.8628666538748382,2
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,2,2,17,-3.025506496644956,-2.236113601203421,-1.4012085291619383,0.8696579100068124,2
STOP SIGN/FLASHER,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,E,6,12,2,0.2525400696474301,-0.08823949142329818,-0.4171342854848387,1.1727787393502256,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,7,5,0,1.0720517112205266,-0.08823949142329818,-1.118401419834679,1.0854967413991339,2
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,6,9,23,-0.5669715719256664,-2.236113601203421,-2.31543876496542,2.3539023378093376,2
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,3,8,1,-0.5669715719256664,-0.08823949142329818,1.7152862850164257,-0.18047993558949918,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,2,5,19,0.2525400696474301,-0.08823949142329818,-0.29959849887601364,0.3946600299375206,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,2,10,15,0.2525400696474301,-0.08823949142329818,-1.05526341637777,0.2577042010997396,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,2,11,13,0.2525400696474301,-0.08823949142329818,-0.2962338159705274,0.5622330771222035,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,dangerous driving,N,3,5,18,0.2525400696474301,-0.08823949142329818,0.569764398637618,0.17621937683676395,2
STOP SIGN/FLASHER,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,6,5,13,0.2525400696474301,-0.08823949142329818,-1.6641643023855963,0.03482056978349523,2
NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,1,8,19,0.2525400696474301,2.0596346183568244,-0.9058625944592411,-0.9954660535447437,2
NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,6,12,21,0.2525400696474301,-0.08823949142329818,-0.4907676259377724,-0.7521238178874157,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,CENTER TURN LANE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,5,4,20,0.2525400696474301,-0.08823949142329818,-1.2256677663088789,1.2537608396006688,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,HEAD ON,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,driver conditions,others,N,3,7,17,0.2525400696474301,-0.08823949142329818,1.6677635349006672,-1.8668265537384707,2
NO CONTROLS,NO CONTROLS,SNOW,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,others,others,S,6,12,3,0.2525400696474301,-0.08823949142329818,-0.05747453982768761,-0.6076925316932124,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,2,9,7,-1.3864832134987628,-0.08823949142329818,-0.17639286332828488,0.7206918752939127,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,4,10,14,0.2525400696474301,-0.08823949142329818,-0.32426831812088625,-0.09042928543399098,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,2,8,12,0.2525400696474301,-0.08823949142329818,1.0805219654524898,0.007626471693683275,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,1,8,2,0.2525400696474301,-0.08823949142329818,0.24169625139991127,0.6692076020307712,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,3,5,16,0.2525400696474301,-0.08823949142329818,0.6757613376110243,-1.1301964440736292,2
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,E,1,9,1,0.2525400696474301,-0.08823949142329818,-1.0551189516631971,1.0671663421428466,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,OTHER,NO DEFECTS,dangerous driving,dangerous driving,S,4,1,19,0.2525400696474301,-0.08823949142329818,-1.0248829795837695,0.09190252710605085,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDESTRIAN,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,N,7,7,14,0.2525400696474301,-0.08823949142329818,0.5020597504391949,0.8828417643608817,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,5,9,3,0.2525400696474301,-0.08823949142329818,-0.5679594052685668,-1.08400832870583,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDESTRIAN,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,dangerous driving,S,5,9,16,1.0720517112205266,-0.08823949142329818,-0.9993031750704546,1.5793765727622036,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,5,9,14,1.0720517112205266,-0.08823949142329818,-1.057270931861791,1.0789966268078897,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,E,6,3,17,-0.5669715719256664,-0.08823949142329818,-0.8625190705389678,1.1980495849048336,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,dangerous driving,dangerous driving,N,3,2,10,0.2525400696474301,-0.08823949142329818,1.8901641259831399,-2.1610772234562354,2
STOP SIGN/FLASHER,NO CONTROLS,CLEAR,DARKNESS,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,1,11,1,-0.5669715719256664,-0.08823949142329818,-0.4696870672005661,0.21965292858523416,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,1,9,10,0.2525400696474301,-0.08823949142329818,1.3947642067288815,-0.8233731582539898,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,vehicle conditions,others,W,4,11,5,0.2525400696474301,-0.08823949142329818,1.6468422329253602,-0.5512629790288284,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAWN,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,6,12,12,1.0720517112205266,-0.08823949142329818,-0.9898276604234603,-0.858331199889348,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDESTRIAN,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,4,3,13,0.2525400696474301,-0.08823949142329818,1.4971915806830345,0.17581456257083838,2
OTHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,ALLEY,STRAIGHT AND LEVEL,DRY,OTHER,dangerous driving,others,N,2,1,1,-2.2059948550718596,-2.236113601203421,1.3317532607706675,-0.6795444339083976,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,N,6,1,10,0.2525400696474301,-0.08823949142329818,0.3982043193151067,-0.3787851423263722,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,7,6,18,0.2525400696474301,-0.08823949142329818,0.28720191264669004,-0.866781238923037,2
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,7,7,0,0.2525400696474301,-0.08823949142329818,-1.2292155927393014,0.900373376361455,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,5,1,14,1.0720517112205266,-0.08823949142329818,-1.4024189085718384,-0.7174208929592151,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,OTHER OBJECT,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,2,2,6,0.2525400696474301,-2.236113601203421,-0.830688254243165,-1.0527988654813842,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDESTRIAN,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,2,2,14,0.2525400696474301,-0.08823949142329818,0.7635700242524159,0.24758607697715035,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,others,others,W,2,8,1,1.0720517112205266,-0.08823949142329818,1.0413381123377004,-2.1626139109253817,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDESTRIAN,ONE-WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,others,others,E,7,5,16,0.2525400696474301,-0.08823949142329818,0.4521072868862541,0.988740415232316,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,7,10,18,0.2525400696474301,-0.08823949142329818,1.1252013151506621,0.5023797784176081,2
NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,OTHER OBJECT,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,driver conditions,driver conditions,S,2,7,1,-1.3864832134987628,-2.236113601203421,-1.5115498118723942,0.5421203111813468,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,5,12,12,0.2525400696474301,-0.08823949142329818,0.4728368526398006,0.7838566341850374,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,PARKING LOT,"CURVE, LEVEL",DRY,WORN SURFACE,external factors,others,W,3,5,14,-3.845018138218052,-2.236113601203421,-1.083471301870335,0.703309233590213,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,1,7,0,0.2525400696474301,-0.08823949142329818,-1.1442379194893946,0.9456253196280667,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,4,12,12,0.2525400696474301,-0.08823949142329818,0.15021626501135232,0.046389835080824185,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,ALLEY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,1,5,15,0.2525400696474301,-2.236113601203421,0.4623386553031903,-1.563847252942183,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,E,6,10,11,0.2525400696474301,-0.08823949142329818,-1.5693596545106896,1.074345634777795,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,4,7,11,0.2525400696474301,-0.08823949142329818,1.561269316951005,-1.001594114481315,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,3,5,9,0.2525400696474301,-0.08823949142329818,-1.3528408344213614,0.6735975408668939,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,5,9,15,0.2525400696474301,-0.08823949142329818,0.9723105857808773,-0.438959518700537,2
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,5,9,7,0.2525400696474301,-0.08823949142329818,0.21198569470874573,0.3761253715675178,2
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,2,12,18,1.0720517112205266,2.0596346183568244,-1.244051000473602,-0.41181653189989753,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,7,3,12,0.2525400696474301,2.0596346183568244,0.5893344640201235,0.12401929182587255,2
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,HEAD ON,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,1,5,18,0.2525400696474301,-0.08823949142329818,-0.7315487542922668,-1.6606688635489049,2
