TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_DIRECTION,CRASH_DAY_OF_WEEK,CRASH_DATE_month,CRASH_DATE_hour,POSTED_SPEED_LIMIT,NUM_UNITS,LATITUDE,LONGITUDE,Severity
NO CONTROLS,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,7,7,15,0.2525400696474301,-0.08823949142329818,0.5831526024319827,-0.8008363945942547,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,5,7,18,1.0720517112205266,2.0596346183568244,-0.5859821547887378,1.232300017630342,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,6,5,18,0.2525400696474301,-0.08823949142329818,0.38690797019161777,0.8634324805415923,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,2,11,13,0.2525400696474301,-0.08823949142329818,0.36816034030429245,-0.03518735144270475,1
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,others,W,3,11,17,0.2525400696474301,-0.08823949142329818,1.4197499827031796,-0.2542076999255901,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,3,12,9,2.7110749943667196,-0.08823949142329818,0.022505896503392568,1.0625659540104642,1
NO CONTROLS,NO CONTROLS,RAIN,DARKNESS,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,others,others,S,4,9,18,0.2525400696474301,-0.08823949142329818,-1.2239775735129461,1.5825829013223307,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,E,6,10,17,0.2525400696474301,-0.08823949142329818,0.37655681771359156,0.9264840740992218,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,2,1,3,0.2525400696474301,-0.08823949142329818,-1.3090474781548893,1.7549395728106967,1
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,7,4,0,0.2525400696474301,-0.08823949142329818,1.476953141254602,-0.25248549302116813,1
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,others,W,6,1,13,0.2525400696474301,-0.08823949142329818,0.5680966565969785,0.7538491488276359,1
NO CONTROLS,NO CONTROLS,CLEAR,DAWN,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,E,4,3,7,0.2525400696474301,-0.08823949142329818,-1.291459628835345,1.122039824962913,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,4,6,16,0.2525400696474301,-0.08823949142329818,-0.5233425977940735,0.2419895768326655,1
NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,others,others,S,7,12,23,-0.5669715719256664,-0.08823949142329818,-1.4461708074113453,0.25170310655928246,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,4,12,14,0.2525400696474301,-0.08823949142329818,0.3151356140579924,0.9244658377778758,1
